rescue_id,park_id,year,rescue_count,injury_count,death_count
R01,P01,2020,17,7,1
R02,P02,2020,8,2,0
R03,P03,2020,8,3,0
R04,P04,2020,11,5,0
R05,P06,2020,21,6,0
R06,P07,2020,19,11,0
R07,P09,2020,14,8,0
R08,P10,2020,9,2,0
R09,P12,2020,47,12,0
R10,P13,2020,7,3,0
R11,P14,2020,2,1,0
R12,P15,2020,43,19,0
R13,P16,2020,5,2,0
R14,P17,2020,2,2,0
R15,P19,2020,66,16,0
R16,P20,2020,2,2,0
R17,P21,2020,17,6,0
R18,P23,2020,24,16,1
R19,P24,2020,1,1,0
R20,P25,2020,1,0,0
R21,P26,2020,4,1,0
R22,P01,2021,28,11,1
R23,P02,2021,8,4,0
R24,P03,2021,15,8,0
R25,P04,2021,10,4,0
R26,P05,2021,4,3,0
R27,P06,2021,22,13,0
R28,P07,2021,16,4,0
R29,P09,2021,21,13,1
R30,P10,2021,39,14,1
R31,P11,2021,2,0,0
R32,P12,2021,106,39,2
R33,P13,2021,10,4,0
R34,P14,2021,2,1,0
R35,P15,2021,54,27,0
R36,P16,2021,10,7,0
R37,P17,2021,3,0,0
R38,P19,2021,113,61,1
R39,P20,2021,14,9,0
R40,P22,2021,2,2,0
R41,P21,2021,56,31,0
R42,P23,2021,45,23,0
R43,P24,2021,3,0,0
R44,P25,2021,2,2,0
R45,P26,2021,3,2,0
R46,P01,2022,17,8,1
R47,P02,2022,5,4,0
R48,P03,2022,21,13,0
R49,P04,2022,18,9,1
R50,P05,2022,8,4,0
R51,P06,2022,56,32,0
R52,P07,2022,26,11,0
R53,P09,2022,14,11,0
R54,P10,2022,30,15,1
R55,P12,2022,110,55,3
R56,P13,2022,21,11,0
R57,P14,2022,4,3,0
R58,P15,2022,99,61,4
R59,P16,2022,4,2,0
R60,P17,2022,4,2,0
R61,P18,2022,1,1,0
R62,P19,2022,86,33,0
R63,P20,2022,10,17,1
R64,P21,2022,25,16,0
R65,P23,2022,31,16,1
R66,P24,2022,2,2,0
R67,P25,2022,2,2,0
R68,P26,2022,6,1,0
