park_id,park_name,area
P01,Pat Sin Leng,3125
P02,Tai Po Kau Nature Reserve,460
P03,Tai Mo Shan,1440
P04,Tai Tam,1315
P05,Tai Tam (Quarry Bay Ext.),270
P06,Tai Lam,5412
P07,Lantau North,2200
P08,Lantau North (Ext.),47
P09,Shek O,701
P10,Sai Kung West,3000
P11,Sai Kung West (Wan Tsai Ext.),615
P12,Sai Kung East,4494
P13,Lam Tsuen,1520
P14,Kam Shan,339
P15,Lantau South,5646
P16,Shing Mun,1400
P17,Aberdeen,423
P18,Ma Shi Chau,61
P19,Ma On Shan,2880
P20,Clear Water Bay,270
P21,Plover Cove,4600
P22,Plover Cove (Extension),630
P23,Lion Rock,557
P24,Kiu Tsui,100
P25,Lung Fu Shan,123
P26,Pok Fu Lam,270
