trail_id,park_id,trail_name,region,difficulty,star,gradient,surface,length,time,summary
T01,P17,Aberdeen Country Park (Aberdeen Upper Reservoir) Accessible Route,Hong Kong Island,2,4,2,1,2.58,2,"Located in the Aberdeen Country Park, the Aberdeen Reservoirs consist of the Upper Aberdeen Reservoir and the Lower Aberdeen Reservoir. Built in 1890, the latter was formerly a private reservoir owned by Tai Shing Paper Factory until 1929, when it was bought by the government to increase water supply to Aberdeen and Ap Lei Chau; the Upper Aberdeen Reservoir was later constructed upstream of it. In 1932, the renovation and reconstruction of the two reservoirs was completed. Visitors can get off the bus on Yue Kwong Road and go uphill along Aberdeen Reservoir Road. The dam of the Upper Reservoir, which lies in the woodlands, comes into view shortly after. To reach it, visitors can set out along the broad and well-shaded path, which offers the scenic beauty of the dam and passes through Aberdeen P.H.A.B. Site. The site is an ideal place for rest and refreshments as it has a light refreshment kiosk, an accessible barbecue site, and toilet. As soon as they arrive at the destination, they can explore the bridge, valve house and dam of the reservoir, which are all declared monuments."
T02,P17,Aberdeen Nature Trail,Hong Kong Island,1,1,1,1,1.2,1,"The first leg of Aberdeen Nature Trail skirts along Lower Aberdeen Reservoir on a level path. Once privately owned by a papermill, the reservoir was surrendered to the government for modification as part of the Aberdeen Valley Water Scheme and came into use again in 1932. The nature trail overlooks fine vistas of the typhoon shelter in Aberdeen and affords glimpses of a catholic convent built in a blend of Chinese and Italian architectural styles, as well as the rich diversity of flora and fauna, including Sasagrass, an ingredient of 24 Herbs, Chinese Cane, which is used to wrap sticky rice dumplings, and Black Kite soaring overhead. Near the end of the trail there is an old-style rain gauge, a declared monument of Upper Aberdeen Reservoir, which is certainly not to be missed."
T03,P17,Aberdeen Tree Walk,Hong Kong Island,1,3,2,1,2.5,1.2,"Aberdeen Tree Walk lies near the downtown area and takes about 10 minutes’ walk from the centre of Aberdeen. To nearby residents, the green haven is a cherished “Backyard Garden of Hong Kong Island”. The Tree Walk is 2.5km long, established along Aberdeen Reservoir Road. It traverses Aberdeen Country Park before reaching the exit of Wan Chai Gap. The Tree Walk is overgrown with green trees, including such local native plants as Rhodoleia with bell-like flowers and Soft-fruited Ormosia with candy-like seeds."
T04,P22,Ap Chau Geosite,North New Territories,1,3,1,1,1,1,"Located to the east of Sha Tau Kok, Ap Chau, which literally means ‘duck island’, got its name because it looks like a duck on water. Composed of red breccia, which is rare in Hong Kong, this small island boasts rich geological culture and human touch with some famous geological attractions, including ‘Duck’s Eye’, which was formed as a result of prolonged wave erosion, and ‘Duck’s Neck’, which is made up of a fault zone. In the 1930s, when Ap Chau was still a deserted island, it was an anchorage for fishermen who fished in nearby waters to fix and repair their fishing tackle and fishing boats. As more people went there, a fishing community gradually took shape, and later built huts, a church, and village schools on the island, with a population of one thousand inhabitants at its height. At present, the island has lost most of its population and in 2018 the school was converted into Ap Chau Story Room, which promotes the history and culture of the island."
T05,P21,Bride's Pool Nature Trail,North New Territories,1,3,1,2,0.7,0.75,"Located at the northwestern corner of Plover Cove Country Park, Bride’s Pool Nature Trail meanders along the valley and skirts along cascades. The trail is easy to walk and ideal for families who want to go on a hike at weekends. In addition to the spectacular waterfalls, there are other hot spots for social media check-ins. One example is the pot-holes of Bride’s Pool. These natural wonders are formed when water, as well as small pebbles, continuously tumbles onto the cracks on rocks of the river bed, which eventually erode away and expand into potholes. With such impressive scenery, Bride’s Pool also has tales to tell about the origin of its name. Legend has it that a bride fell into the pool and lost her life on the way to the wedding because the wedding sedan-chair porter lost his footing. Since then, the pool has been referred to as Bride’s Pool. It is also said that the bride’s vanity mirror gave a nearby waterfall the name ‘Mirror Pool Waterfall’. The nature trail passes by the hundred-year-old Bride’s Pool Stone Bridge, which was built in 1906 to enable villagers to commute between Wu Kau Tang and Chung Mei Village conveniently."
T06,P10,Cheung Sheung Country Trail,Sai Kung,3,2,3,2,4.2,3,"Cheung Sheung, surrounded by steep spurs, is one of those rare marshes situated on a plateau.  The word ‘Cheung’ and the uniquely magnificent views stem from the surrounding layers of mountains.  Located in Sai Kung West Country Park, the trail presents hikers with scenes of Shek Uk Shan, the highest crest in Sai Kung, and Cheung Sheung Plateau, along Hoi Ha Road to the peak.  On the return trip, the trail amazes hikers with a panoramic view of the Three Fathoms Cove on the west.  Cheung Sheung Village owns a shabby stone house, an abandoned rainfall measurement station and an old village school that was used by anti-Japanese Guerrillas as a communications base.  The derelict village school holds on to history that cannot be forgotten among Hongkongers.  To arrive Yung Shue O Village, the destination of the trip, hikers have to go through the challenge of passing through series of steep and long stone steps, known as Jacob’s Ladder, situated at Au Mun.  If you are ready to take the challenge to the next level physically and mentally, you can get to Cheung Sheung with a reverse route that requires climbing up Jacob’s Ladder."
T07,P15,Chi Ma Wan Country Trail,Lantau,4,3,2,4,18.5,8,"Chi Ma Wan Country Trail, with a total distance of 18.5 kilometres, shares the same starting and ending point at Shap Long Campsite.  The trail surrounds most of Chi Ma Wan Peninsula, offering hikers vistas of Pui O Bay, Ham Tin Village and Cheung Sha.  Since the trail skirts along the coastline, weathering has given the rocks an extraordinary look, and thus in the vicinity there is a famous spot called ‘Rock Wonder’, where granites in unique shapes scatter around hillsides.  Up at the peak of Lo Yan Shan, which is 306 metres high, hikers would be stunned by the 360-degree panorama of Tsing Ma Bridge, International Commerce Centre and International Finance Centre (on clear days).  Given its awe-inspiring natural landscapes and captivating city views, the route never fails to attract tourists even though it takes visitors as long as 8 hours to complete the trip.  It is rewarding to explore the peninsula through hiking and taking glimpses of the sea."
T08,P03,Chuen Lung Family Walk,West New Territories,1,2,1,1,0.5,0.5,"Situated on a mountain in Tsuen Wan, Chuen Lung is an ancient Hakka village, as well as a resting place for hikers to enjoy Dim Sum. Chuen Lung Family Walk is suitable for families to have a barbecue and go on a hike as it is located inside a barbecue site near the entrance of the village. The entrance arch stands alongside Brisbane Box, a special tree species which blossoms from May to July and fruits semiglobose capsules from August to September. Along the trail, there are also Shiny-leaved Prickly Ash, which has pricks on the main vein of both sides of its leaves, Divaricate Strophanthus, which bears poisonous fruits that resemble goat horns, and Sandpaper Vine, which was used by villagers to clean cooking utensils. In the vicinity is a viewing point overlooking Tsuen Wan, with views of Tsing Yi and Lantau Island in the distance. The trip finishes as the trail traverses a group of bamboo nearby. With a span of half a kilometre only, it can be easily finished even by young and elderly family members. In summer, you may also catch sight of the star of Chuen Lung – Yellow Coster, a rare species in Hong Kong. The plant its larvae feed on, Ramie, can also be found by the sides of the stream."
T09,P21,Chung Pui Tree Walk,North New Territories,1,3,1,1,0.25,0.2,"Chung Pui Tree Walk is a circular route with 0.25km in length, established beside Brides’ Pool Road. 14 species of trees are introduced along the Tree Walk, including Pop-Gun Seed, Chinese Tallow Tree and Acronychia. The Tree Walk is located at the foot of Hsien Ku Fung and close to Plover Cove Reservoir. Visitors can enjoy the splendid scenery of Plover Cove Reservoir while learning about various tree species."
T10,P20,Clear Water Bay Tree Walk,Sai Kung,1,2,1,2,1.2,0.5,"Clear Water Bay Tree Walk is cutting across dense woodlands in the mid slopes of Tai Hang Tun in Clear Water Bay Country Park. There is a viewing platform and a visitor centre at the start of the Tree Walk. Looking southeast from the platform, you will see the magnificent waves patting Tsing Chau and Nine Pin Group. Walk several dozen steps along the tree walk, you will feel as if you were in a forest, feeling cool even in hot summer days. After passing through the luxuriant trees, you will get to the open section in the middle of the Tree Walk. Looking south, you will see the fascinating Clear Water Bay and the nostalgic, peaceful and simple fishing village - Po Toi O. Measuring 1.2 km in length, Clear Water Bay Tree Walk has 10 interpretation plates with information on various plants like Chinese Hackberry, Laurel Sweet Leaf and Schima.1 Schefflera heptaphylla2 Machilus thunbergii3 Macaranga tanarius var tomentosa4 Schima superba5 Symplocos cochinchinensis var. laurina6 Ficus hispida7 Alangium chinense8 Bridelia tomentosa9 Litsea glutinosa10 Celtis sinensis"
